Individuo,Orden de preferencia,Clave,Nombre de la Materia
8,1,2046,Auditoría Actuarial
10,3,2046,Auditoría Actuarial
14,4,2046,Auditoría Actuarial
15,5,2046,Auditoría Actuarial
18,2,2046,Auditoría Actuarial
21,5,2046,Auditoría Actuarial
22,2,2046,Auditoría Actuarial
23,5,2046,Auditoría Actuarial
27,4,2046,Auditoría Actuarial
28,2,2046,Auditoría Actuarial
31,2,2046,Auditoría Actuarial
32,5,2046,Auditoría Actuarial
38,1,2046,Auditoría Actuarial
40,5,2046,Auditoría Actuarial
41,2,2046,Auditoría Actuarial
42,2,2046,Auditoría Actuarial
43,3,2046,Auditoría Actuarial
44,2,2046,Auditoría Actuarial
46,5,2046,Auditoría Actuarial
50,5,2046,Auditoría Actuarial
63,1,2046,Auditoría Actuarial
64,3,2046,Auditoría Actuarial
73,2,2046,Auditoría Actuarial
76,5,2046,Auditoría Actuarial
78,4,2046,Auditoría Actuarial
79,2,2046,Auditoría Actuarial
97,1,2046,Auditoría Actuarial
99,5,2046,Auditoría Actuarial
112,2,2046,Auditoría Actuarial
114,2,2046,Auditoría Actuarial
117,3,2046,Auditoría Actuarial
122,4,2046,Auditoría Actuarial
1,1,2047,Contabilidad de Seguros
21,4,2047,Contabilidad de Seguros
23,4,2047,Contabilidad de Seguros
28,1,2047,Contabilidad de Seguros
116,1,2047,Contabilidad de Seguros
6,4,2048,Estadística Bayesiana
13,3,2048,Estadística Bayesiana
16,5,2048,Estadística Bayesiana
22,5,2048,Estadística Bayesiana
24,5,2048,Estadística Bayesiana
26,1,2048,Estadística Bayesiana
29,5,2048,Estadística Bayesiana
30,5,2048,Estadística Bayesiana
34,4,2048,Estadística Bayesiana
35,3,2048,Estadística Bayesiana
36,5,2048,Estadística Bayesiana
39,5,2048,Estadística Bayesiana
47,2,2048,Estadística Bayesiana
48,3,2048,Estadística Bayesiana
49,5,2048,Estadística Bayesiana
51,3,2048,Estadística Bayesiana
52,5,2048,Estadística Bayesiana
54,2,2048,Estadística Bayesiana
56,3,2048,Estadística Bayesiana
57,5,2048,Estadística Bayesiana
58,3,2048,Estadística Bayesiana
59,5,2048,Estadística Bayesiana
64,2,2048,Estadística Bayesiana
66,4,2048,Estadística Bayesiana
73,3,2048,Estadística Bayesiana
93,4,2048,Estadística Bayesiana
106,5,2048,Estadística Bayesiana
110,3,2048,Estadística Bayesiana
111,1,2048,Estadística Bayesiana
113,1,2048,Estadística Bayesiana
119,5,2048,Estadística Bayesiana
121,1,2048,Estadística Bayesiana
122,5,2048,Estadística Bayesiana
123,2,2048,Estadística Bayesiana
124,4,2048,Estadística Bayesiana
1,3,2049,Evaluación de proyectos
3,2,2049,Evaluación de proyectos
4,2,2049,Evaluación de proyectos
6,1,2049,Evaluación de proyectos
7,1,2049,Evaluación de proyectos
8,5,2049,Evaluación de proyectos
9,3,2049,Evaluación de proyectos
12,2,2049,Evaluación de proyectos
15,1,2049,Evaluación de proyectos
17,1,2049,Evaluación de proyectos
19,4,2049,Evaluación de proyectos
20,4,2049,Evaluación de proyectos
25,4,2049,Evaluación de proyectos
26,3,2049,Evaluación de proyectos
27,1,2049,Evaluación de proyectos
29,1,2049,Evaluación de proyectos
30,4,2049,Evaluación de proyectos
31,3,2049,Evaluación de proyectos
38,4,2049,Evaluación de proyectos
40,3,2049,Evaluación de proyectos
42,5,2049,Evaluación de proyectos
44,5,2049,Evaluación de proyectos
46,3,2049,Evaluación de proyectos
54,4,2049,Evaluación de proyectos
55,3,2049,Evaluación de proyectos
58,4,2049,Evaluación de proyectos
60,4,2049,Evaluación de proyectos
61,1,2049,Evaluación de proyectos
69,5,2049,Evaluación de proyectos
74,5,2049,Evaluación de proyectos
75,2,2049,Evaluación de proyectos
77,1,2049,Evaluación de proyectos
81,4,2049,Evaluación de proyectos
85,3,2049,Evaluación de proyectos
87,2,2049,Evaluación de proyectos
89,5,2049,Evaluación de proyectos
92,1,2049,Evaluación de proyectos
95,4,2049,Evaluación de proyectos
96,5,2049,Evaluación de proyectos
97,2,2049,Evaluación de proyectos
101,5,2049,Evaluación de proyectos
103,2,2049,Evaluación de proyectos
104,3,2049,Evaluación de proyectos
107,4,2049,Evaluación de proyectos
108,2,2049,Evaluación de proyectos
110,1,2049,Evaluación de proyectos
111,2,2049,Evaluación de proyectos
114,4,2049,Evaluación de proyectos
115,2,2049,Evaluación de proyectos
116,5,2049,Evaluación de proyectos
118,1,2049,Evaluación de proyectos
120,1,2049,Evaluación de proyectos
123,1,2049,Evaluación de proyectos
14,2,2050,Evaluación de proyectos
117,5,2050,Evaluación de proyectos
3,3,2051,Finanzas Internacionales 
9,1,2051,Finanzas Internacionales 
10,4,2051,Finanzas Internacionales 
11,4,2051,Finanzas Internacionales 
12,1,2051,Finanzas Internacionales 
18,4,2051,Finanzas Internacionales 
25,2,2051,Finanzas Internacionales 
27,3,2051,Finanzas Internacionales 
31,1,2051,Finanzas Internacionales 
50,3,2051,Finanzas Internacionales 
60,1,2051,Finanzas Internacionales 
62,1,2051,Finanzas Internacionales 
63,2,2051,Finanzas Internacionales 
65,1,2051,Finanzas Internacionales 
77,2,2051,Finanzas Internacionales 
96,4,2051,Finanzas Internacionales 
101,2,2051,Finanzas Internacionales 
112,1,2051,Finanzas Internacionales 
116,3,2051,Finanzas Internacionales 
118,5,2051,Finanzas Internacionales 
22,4,2053,Procesos Estocásticos II
52,1,2053,Procesos Estocásticos II
64,1,2053,Procesos Estocásticos II
4,1,2054,Presupuesto de capital
9,2,2054,Presupuesto de capital
19,3,2054,Presupuesto de capital
20,3,2054,Presupuesto de capital
33,4,2054,Presupuesto de capital
71,1,2054,Presupuesto de capital
89,4,2054,Presupuesto de capital
99,1,2054,Presupuesto de capital
101,1,2054,Presupuesto de capital
107,3,2054,Presupuesto de capital
7,3,2055,Series de Tiempo
17,2,2055,Series de Tiempo
26,2,2055,Series de Tiempo
30,2,2055,Series de Tiempo
33,2,2055,Series de Tiempo
49,3,2055,Series de Tiempo
51,2,2055,Series de Tiempo
52,4,2055,Series de Tiempo
55,2,2055,Series de Tiempo
72,1,2055,Series de Tiempo
83,2,2055,Series de Tiempo
88,3,2055,Series de Tiempo
93,2,2055,Series de Tiempo
94,4,2055,Series de Tiempo
97,3,2055,Series de Tiempo
98,4,2055,Series de Tiempo
100,3,2055,Series de Tiempo
102,1,2055,Series de Tiempo
103,1,2055,Series de Tiempo
104,2,2055,Series de Tiempo
106,2,2055,Series de Tiempo
108,1,2055,Series de Tiempo
109,3,2055,Series de Tiempo
113,2,2055,Series de Tiempo
119,2,2055,Series de Tiempo
124,2,2055,Series de Tiempo
2,4,2056,Seguro de personas
76,4,2056,Seguro de personas
116,2,2056,Seguro de personas
67,5,2511,Investigación de Operaciones II
68,3,2511,Investigación de Operaciones II
70,3,2511,Investigación de Operaciones II
87,3,2511,Investigación de Operaciones II
105,3,2612,Muestreo
67,4,2613,Economía Matemática II
68,2,2613,Economía Matemática II
70,1,2613,Economía Matemática II
92,3,2613,Economía Matemática II
86,3,2032,Análisis de Regresión
86,5,2037,Investigación de Operaciones II
86,2,2039,Modelos y Simulación
86,4,2041,Muestreo
86,1,2049,Evaluación de proyectos
102,2,,Econometria
